,Year,Forests,Forest Area,Groves,Grasslands,Reeds - Swamps,Agricultural Areas,Crop Residues,Landfills,Total Burned Acres
0,2000,465770.6,411667.0,263.4,213752.5000000001,13025.7,222711.6,227231.39999999997,5428.300000000002,1559850.4999999998
1,2001,25215.5,83046.2,384.40000000000003,83127.00000000001,9863.7,39745.30000000001,181598.09999999995,5273.999999999997,428254.1999999999
2,2002,2951.9999999999986,16766.200000000004,55.200000000000024,13993.900000000001,5416.5,14021.900000000001,26538.100000000006,2078.3999999999996,81822.2
3,2003,4906.199999999999,22105.199999999997,164.8,25428.300000000003,1993.2999999999997,14537.900000000001,14669.599999999999,961.6000000000001,84766.9
4,2004,11729.000000000004,32664.4,75.29999999999998,33884.6,4332.3,13309.800000000001,36561.60000000001,2010.4,134567.40000000002
5,2005,12640.190000000006,26632.250000000004,37.53000000000001,15752.989999999998,3237.2699999999995,14810.880000000001,14405.260000000004,1217.84,88734.21000000004
6,2006,7933.250000000003,48971.82,58.88999999999999,20420.250000000004,3545.09,55967.860000000015,14972.270000000002,1020.3499999999997,152889.77999999994
7,2007,651585.6699999999,836887.5199999997,644.27,296210.38000000006,29786.249999999996,660373.1500000001,167600.52000000002,1134.4099999999996,2644222.170000001
8,2008,105044.06999999999,119281.36000000002,137.75999999999996,48019.75000000001,8405.500000000002,49379.44000000001,55232.38,1461.47,386961.73
9,2009,61703.799999999974,149200.40000000002,87.49999999999997,119675.1,14805.100000000006,59844.89999999999,40010.80000000002,5418.700000000001,450746.3000000001
10,2010,16775.600000000002,44470.100000000006,43.000000000000014,39604.8,5846.8,29680.299999999992,15301.000000000004,581.8000000000002,152303.40000000005
11,2011,62883.89999999999,96870.00000000004,28.7,83523.90000000004,8145.400000000001,50461.10000000002,47216.899999999994,491.6000000000001,349621.5
12,2012,98160.09999999998,158665.69999999998,56.30000000000001,111579.90000000001,7045.699999999999,97098.00000000001,27159.499999999996,640.3999999999999,500405.60000000003
13,2013,7500.799999999999,110587.60000000003,45.00000000000001,56971.4,6671.699999999999,46814.3,41942.40000000001,385.90000000000003,270919.1
14,2014,4837.959999999999,62300.719999999994,34.19000000000001,38039.52999999999,10574.709999999997,22854.8,54290.26999999998,255.44999999999996,193187.62999999998
15,2015,19124.070000000007,52806.04000000001,42.470000000000006,20224.599999999988,5085.340000000001,37952.04,35226.51000000002,397.2700000000002,170858.33999999997
16,2016,55229.94,151725.66,257.24,71749.7,7962.13,44050.10999999999,88701.91999999998,334.0400000000001,420010.7399999998
17,2017,24502.410000000003,107604.00999999998,280.59,33530.7,13327.65,24004.009999999995,25194.559999999998,2192.559999999999,230636.49000000005
18,2018,51870.37000000003,42653.49,68.50000000000001,29367.359999999997,7039.279999999999,31149.390000000007,31176.32999999999,491.54999999999995,193816.27000000005
19,2019,34622.17999999997,43729.26999999998,13.629999999999999,23053.84,6760.029999999997,20565.26999999999,33839.549999999996,174.67999999999995,162758.44999999995
20,2020,13853.909999999998,94563.87000000001,9.18,36171.039999999986,8970.349999999999,50147.51,18055.4,383.2599999999999,222154.52
21,2021,506271.1999999997,365417.44999999995,140.13,58809.729999999996,10723.33,342893.54,47279.289999999986,606.0,1332140.67
22,2022,66202.66,94638.41000000003,40.3,44475.140000000014,9120.54,56428.38000000001,14493.320000000002,251.6,285650.35
23,2023,472942.34999999986,922684.46,380.11000000000007,204547.69999999987,9277.92,108492.34999999998,51234.279999999984,102.49000000000001,1769661.6600000001
