,Region,Total Burned Acres
15,Elis,1364816.44
18,Evros,1322795.12
16,Euboea,1143248.09
5,Attica,912610.8999999999
31,Larissa,693722.6099999999
30,Laconia,623841.7000000001
6,Boeotia,468875.92000000004
11,Corinthia,425665.27999999997
13,Dodecanese,419697.5
39,Phthiotis,368480.70999999996
2,Arcadia,328839.23000000004
36,Messenia,295637.11999999994
35,Magnesia,255795.49000000002
0,Achaea,252562.75999999995
12,Cyclades,231106.45
25,Karditsa,204795.88
44,Samos,202844.50000000006
9,Chios,184969.68999999997
29,Kozani,174068.03000000003
1,Aetolia-Acarnania,162916.12000000002
24,Ioannina,159671.68000000005
27,Kavala,132256.66
28,Kilkis,129717.25
42,Rethymno,119783.59999999999
43,Rhodope,117492.86999999998
7,Cephalonia,112451.14
19,Florina,100211.37
50,Zakynthos,95147.15999999999
3,Argolis,94994.98
47,Thessaloniki,94411.18
8,Chania,82738.86000000004
21,Halkidiki,80242.67000000003
22,Heraklion,76631.23999999999
14,Drama,74245.84000000003
34,Lesbos,70719.09000000001
37,Pella,66325.19
20,Grevena,65793.91
26,Kastoria,60786.38
32,Lasithi,60502.33
45,Serres,59220.63
48,Trikala,56519.79000000001
10,Corfu,53753.48000000001
41,Preveza,51644.72000000001
49,Xanthi,45296.03
46,Thesprotia,42399.04
38,Phocis,39984.39000000001
4,Arta,28303.220000000005
40,Pieria,19443.8
33,Lefkada,18481.489999999994
23,Imathia,16061.419999999998
17,Eurytania,4419.160000000001
